Title,Baby Huey Amp
Revision,A
Date,2017-05-23
Generated,Tuesday, September 05, 2017 'PMt' 12:11:03 PM
Company,
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,174
Total Unique Parts,52



Ref,Qty,Value,Footprint,MFN,MFP,Power,Type,Voltage,
C201 C202 C401 C402 ,4,.1uF,,Cornell Dubilier,225P10494XD3, , ,400V
C203 C403 ,2,1000uF,,Nichicon,LGG2C102MELZ40, , ,150V
C204 C404 ,2,2u2,,Kemet,C4GAFUC4220AA0J, ,Polypropylene, 
C302 C304 C502 C504 ,4,10nF,,Kemet,C4CAYUB2100AA0J, , ,2kV
C307 C305 C507 C505 ,4,5uF,,Vishay,MKP1848C55090JK2, ,Polypropylene,900V
C309 C509 ,2,2u2,,Kemet,C4GAFUC4220AA0J, , ,100V
C303 C503 ,2,470uF,,Elna,RFS-50V471MJ8#5, ,Electrolytic,50V
C306 C506 ,2,470uF,,Kemet,ELG477M450AT6AA, , ,450V
C308 C508 ,2,22uF,,Kemet,ESK226M400AL4AA, , ,100V
C301 C501 ,2,10000uF,,Nichicon,UVR1C103MHD, , , 
D202 D402 ,2,BLUE,,Lumex,SSL-LX3044USBC, , , 
D201 D401 ,2,GREEN,,Lumex,SSL-LX3044UEGC, , , 
D204 D203 D404 D403 ,4,12V,,Vishay,1N4742A-TR, , , 
D311 D511 ,2,56V,,ON Semiconductor,1N5370BG,1.5W, , 
D307 D308 D304 D303 D301 D305 D306 D302 D507 D508 D504 D503 D501 D505 D506 D502 ,16,1N5822,,Fairchild,1N5822, , , 
D309 D310 D509 D510 ,4,D,,Vishay Semiconductor Diodes Division,1N4937-E3/54, , ,>300V
J103 J104 ,2,RCA Jack,,Amphenol,ACJB-WHT, , , 
J101 J102 ,2,IEC Inlet,,Qualtek,719W-00/03, , , 
J106 J105 ,2,CONN_01X02_FEMALE,,Pomona Electronics,6883, , , 
L301 L501 ,2,2H @ 200mA,,Hammond,157R, , , 
Q201 Q202 Q401 Q402 ,4,BC546B,TO_SOT_Packages_THT:TO-92_Molded_Narrow,Fairchild,BC546BTA, , , 
Q206 Q203 Q204 Q207 Q406 Q403 Q404 Q407 ,8,2N5551,TO_SOT_Packages_THT:TO-92_Molded_Narrow,Fairchild,2N5551, , , 
Q208 Q205 Q408 Q405 ,4,ZVN0545A,,Diodes Inc.,ZVN0545A, , , 
R203 R207 R204 R403 R407 R404 ,6,1K5,,Vishay,CMF551K5000FHEB, , , 
R206 R205 R215 R216 R406 R405 R415 R416 ,8,220K,,Vishay,CCF02220KFKR36, , , 
R209 R210 R409 R410 ,4,1M2,,Yageo,MFR50SFTE52-1M2, , , 
R212 R412 ,2,33K,,Vishay,CPF133K000FKE14, , , 
R208 R408 ,2,10K,,Vishay,CMF6010K000FHEK, , , 
R202 R402 ,2,470R,,Vishay,CPF2470R00FKE14, , , 
R201 R401 ,2,100K,,Vishay,PTF65100K00BZEK, , , 
R220 R219 R420 R419 ,4,390R,,Vishay,CMF55390R00FKBF, , , 
R217 R218 R302 R303 R417 R418 R502 R503 ,8,100R,,Vishay,CPF2100R00FKE14, , , 
R214 R213 R414 R413 ,4,220R,,Vishay,CMF55220R00FHEK, , , 
R211 R411 ,2,2K2,,Vishay,CMF552K2000FHEK, , , 
R224 R222 R424 R422 ,4,4K7,,Vishay,CMF554K7000FKEB, , , 
R225 R223 R425 R423 ,4,47K,,Vishay / Dale,CPF347K000FKE14,2W, , 
R230 R229 R430 R429 ,4,150R,,Vishay / Dale,CPF21K0000FKE14, , , 
R228 R227 R428 R427 ,4,10R,,Vishay / Dale,CPF2100R00FKE14, , , 
R226 R426 ,2,10R,,Vishay / Dale,CPF2100R00FKE14,1W, , 
R221 R421 ,2,16K,,Vishay / Dale,CMF5516K000BEEB, , , 
R304 R504 ,2,220K,,Vishay,CCF02220KFKR36,2W, , 
R306 R305 R506 R505 ,4,22K,,Vishay,RS00522K00FE12,3W, , 
R307 R507 ,2,1K,,Vishay / Dale,CPF21K0000FKE14, , , 
R301 R501 ,2,220R,,Vishay / Huntington,ALSR03220R0FE12,2W, , 
RV201 RV401 ,2,100,,Bourns,93R1A-R22-A05L, , , 
RV202 RV203 RV402 RV403 ,4,50K,,Bourns,PDB181-E420F-503B, , , 
SW101 SW102 ,2,POWER SWITCH,,Carling Technologies,2GK50-73, , , 
T105 T106 ,2,GXPP12-8K,,Edcor,GXPP12-8K, , , 
T101 T103 ,2,XPWR064,,Edcor,XPWR064, , , 
T104 T102 ,2,VPT36-1390,,Triad,VPT36-1390, , , 
U201 U401 ,2,ECC803S,Valves:VALVE-NOVAL_P,Electro-Harmonix,12AX7, , , 
U203 U202 U403 U402 ,4,EL84,Valves:VALVE-NOVAL_P,JJ,EL84, , , 




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated Tuesday, September 05, 2017 'PMt' 12:11:03 PM
